Doklad;"Datum vystavení";"Datum splatnosti";"Datum úhrady";"Spoleènost dodavatele";"IÈO dodavatele";"DIÈ dodavatele";"Ulice dodavatele";"Mìsto dodavatele";"PSÈ dodavatele";"Zemì dodavatele";Štítek;"Položky poèet";"Položky MJ";"Položky text";"Položky cena";"Položky %DPH";"Položky typ DPH";"ID èíselné øady";"ID pøedkontace";"ID èlenìní DPH";"Variabilní Symbol";"Konstantní Symbol";"Specifický Symbol";"Výpoèet DPH";Mìna;"Celkem bez DPH";"Celkem s DPH";Zaokrouhlení;"Celkem k úhradì"
N20250027;23.06.2025;;;"ORLEN Unipetrol RPA s.r.o.";27597075;CZ699000139;"Záluží 1";Litvínov;43601;"Èeská republika";;1;ks;benzin;800.10;21;2;269732;;0;;;;2;CZK;661.24;800.10;0.00;800.10
N20250028;25.06.2025;;;"Alza.cz a.s.";27082440;CZ27082440;"Jankovcova 1522/53";Praha;17000;"Èeská republika";;1;ks;"cisteni HW";226.00;21;2;269732;;0;;;;2;CZK;186.78;226.00;0.00;226.00
N20250029;28.06.2025;;;"ORLEN Unipetrol RPA s.r.o.";27597075;CZ699000139;"Záluží 1";Litvínov;43601;"Èeská republika";;;ks;"Položka z telefonu";1713.40;21;2;269732;;0;;;;2;CZK;1416.03;1713.40;0.00;1713.40
N20250030;03.07.2025;;;"Alza.cz a.s.";27082440;CZ27082440;"Jankovcova 1522/53";Praha;17000;"Èeská republika";;1;ks;;457.00;21;2;269732;;0;;;;2;CZK;377.69;457.00;0.00;457.00
N20250031;03.07.2025;;;"Alza.cz a.s.";27082440;CZ27082440;"Jankovcova 1522/53";Praha;17000;"Èeská republika";;1;ks;;369.00;21;2;269732;;0;;;;2;CZK;304.96;369.00;0.00;369.00
N20250032;11.07.2025;;;"ORLEN Unipetrol RPA s.r.o.";27597075;CZ699000139;"Záluží 1";Litvínov;43601;"Èeská republika";;1;ks;;375.80;21;2;269732;;0;;;;2;CZK;310.58;375.80;0.00;375.80
N20250033;17.07.2025;;;"MOL Èeská republika, s.r.o.";49450301;CZ49450301;"Purkyòova 2121/3";Praha;11000;"Èeská republika";;;ks;benzin;424.00;21;2;269732;;0;;;;2;CZK;350.41;424.00;0.00;424.00
N20250034;17.07.2025;;;"ORLEN Unipetrol RPA s.r.o.";27597075;CZ699000139;"Záluží 1";Litvínov;43601;"Èeská republika";;;ks;"Položka z telefonu";1184.10;21;2;269732;;0;;;;2;CZK;978.60;1184.10;0.00;1184.10
N20250035;23.07.2025;;;"Žerotín, a.s.";63495465;CZ63495465;"Za Drahou 1331";Strážnice;69662;"Èeská republika";;1;ks;benzin;850.00;21;2;269732;;0;;;;2;CZK;702.48;850.00;0.00;850.00
N20250036;26.07.2025;;;"Tank ONO, s.r.o.";48365289;CZ48365289;"Domažlická 674/160";Plzeò;31800;"Èeská republika";;;ks;benzin;1425.30;21;2;269732;;0;;;;2;CZK;1177.93;1425.30;0.00;1425.30
